mechanism,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S1,30,HAT-PH_d_03-t_600-mi_5000,18.2,8.0,209.7,0.0006,2292.87
S2,30,HAT-PH_d_01-t_400-mi_4000,25.18,14.0,384.57,0.001,2296.15
S2,30,HAT-PH_d_01-t_400-mi_5000,29.19,16.0,383.02,0.001,2294.56
S2,30,HAT-PH_d_01-t_500-mi_4000,22.04,14.0,378.55,0.001,2287.67
S2,30,HAT-PH_d_01-t_500-mi_5000,23.2,14.0,387.25,0.001,2302.86
S2,30,HAT-PH_d_01-t_600-mi_4000,27.53,15.0,382.96,0.001,2292.86
S2,30,HAT-PH_d_01-t_600-mi_5000,28.29,15.0,385.81,0.001,2297.51
S2,30,HAT-PH_d_02-t_400-mi_4000,24.56,15.0,384.41,0.001,2293.91
S2,30,HAT-PH_d_02-t_400-mi_5000,23.62,14.0,376.3,0.001,2275.66
S2,30,HAT-PH_d_02-t_500-mi_4000,22.93,13.0,382.72,0.001,2287.79
S2,30,HAT-PH_d_02-t_500-mi_5000,24.99,14.0,380.16,0.001,2283.75
S2,30,HAT-PH_d_02-t_600-mi_4000,29.82,17.0,374.41,0.001,2272.33
S2,30,HAT-PH_d_02-t_600-mi_5000,23.74,14.0,377.24,0.001,2280.05
S2,30,HAT-PH_d_03-t_400-mi_4000,29.52,15.0,383.32,0.001,2293.37
S2,30,HAT-PH_d_03-t_400-mi_5000,25.49,15.0,377.19,0.001,2287.07
S2,30,HAT-PH_d_03-t_500-mi_4000,29.18,15.0,370.36,0.001,2270.69
S2,30,HAT-PH_d_03-t_500-mi_5000,26.59,14.0,383.69,0.001,2292.43
S2,30,HAT-PH_d_03-t_600-mi_4000,27.39,16.0,208.86,0.0006,2287.73
S2,30,HAT-PH_d_03-t_600-mi_5000,24.6,16.0,208.16,0.0006,2285.0
S1,30,HAT-PH_d_01-t_400-mi_4000,16.5,9.0,376.95,0.001,2270.4
S1,30,HAT-PH_d_01-t_400-mi_5000,18.21,10.0,381.0,0.001,2288.35
S1,30,HAT-PH_d_01-t_500-mi_4000,17.07,9.0,378.14,0.001,2282.25
S1,30,HAT-PH_d_01-t_500-mi_5000,18.31,10.0,384.09,0.001,2286.24
S1,30,HAT-PH_d_01-t_600-mi_4000,16.81,9.0,383.1,0.001,2292.75
S1,30,HAT-PH_d_01-t_600-mi_5000,18.71,9.0,379.98,0.001,2286.22
